seed,type,N,T,ρ_estimate,ρ_start,ρ_lower,ρ_upper,σₐ²_estimate,σₐ²_start,σₐ²_lower,σₐ²_upper,σᵤ²_estimate,σᵤ²_start,σᵤ²_lower,σᵤ²_upper,iterations,LL,V_norm_finalstep,V_norm_true,V,b₀₁,b₀₂,b₀₃,b₀₄,β₁,β₂,runtime,notes,
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.1,0.0,Inf,1.6331344,1.0,0.0,Inf,3,-342.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:11:30,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:11:30,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.1,0.0,Inf,3.0431598,3.0,0.0,Inf,4,-293.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:12:28,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:12:28,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.1,0.0,Inf,5.9309567,6.0,0.0,Inf,4,-303.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:13:43,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:13:43,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.1,0.0,Inf,9.8898636,10.0,0.0,Inf,4,-335.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:14:53,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:14:53,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.1,0.0,Inf,24.8546828,25.0,0.0,Inf,3,-419.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:15:50,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:15:50,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.1,0.0,Inf,49.8433288,50.0,0.0,Inf,3,-494.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:16:42,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:16:42,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.1,0.0,Inf,99.8377154,100.0,0.0,Inf,3,-573.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:17:34,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:17:34,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,0.1,0.0,Inf,999.8326711,1000.0,0.0,Inf,4,-846.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:18:38,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:18:38,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,1.0,0.0,Inf,4299.4326255,0.01,0.0,Inf,5,-1020.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:19:57,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:19:57,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,1.0,0.0,Inf,420.8144208,0.1,0.0,Inf,5,-742.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:21:12,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:21:12,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,1.0,0.0,Inf,4.1391784,1.0,0.0,Inf,5,-292.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:22:27,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:22:27,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,1.0,0.0,Inf,3.9692332,3.0,0.0,Inf,4,-291.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:23:38,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:23:38,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,1.0,0.0,Inf,5.2194983,6.0,0.0,Inf,4,-298.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:24:41,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:24:41,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,1.0,0.0,Inf,8.7571219,10.0,0.0,Inf,4,-326.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:25:51,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:25:51,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,1.0,0.0,Inf,23.4554089,25.0,0.0,Inf,4,-413.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:26:59,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:26:59,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,1.0,0.0,Inf,48.3785007,50.0,0.0,Inf,4,-491.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:28:18,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:28:18,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,1.0,0.0,Inf,98.3439456,100.0,0.0,Inf,4,-571.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:29:20,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:29:20,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,1.0,0.0,Inf,998.3121709,1000.0,0.0,Inf,4,-845.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:30:28,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:30:28,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,3.0,0.0,Inf,43005.4865376,0.01,0.0,Inf,5,-1297.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:31:48,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:31:48,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,3.0,0.0,Inf,4216.5128554,0.1,0.0,Inf,5,-1018.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:33:06,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:33:06,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,3.0,0.0,Inf,30.8072392,1.0,0.0,Inf,5,-442.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:34:24,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:34:24,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,3.0,0.0,Inf,4.0451338,3.0,0.0,Inf,5,-292.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:35:40,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:35:40,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,3.0,0.0,Inf,3.0535692,6.0,0.0,Inf,4,-293.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:36:39,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:36:39,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,3.0,0.0,Inf,5.3028649,10.0,0.0,Inf,4,-299.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:37:47,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:37:47,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,3.0,0.0,Inf,19.7256052,25.0,0.0,Inf,4,-396.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:39:02,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:39:02,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,3.0,0.0,Inf,44.7950746,50.0,0.0,Inf,5,-482.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:40:24,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:40:24,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,3.0,0.0,Inf,94.7848016,100.0,0.0,Inf,4,-567.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:41:32,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:41:32,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,3.0,0.0,Inf,994.8165701,1000.0,0.0,Inf,4,-845.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:42:44,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:42:44,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,6.0,0.0,Inf,42999.6408111,0.01,0.0,Inf,5,-1297.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:44:07,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:44:07,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,6.0,0.0,Inf,4210.1247772,0.1,0.0,Inf,5,-1018.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:45:32,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:45:32,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,6.0,0.0,Inf,32.1213258,1.0,0.0,Inf,5,-446.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:46:56,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:46:56,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,6.0,0.0,Inf,4.2757337,3.0,0.0,Inf,6,-292.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:48:31,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:48:31,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,6.0,0.0,Inf,6.177776,6.0,0.0,Inf,5,-305.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:49:53,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:49:53,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,6.0,0.0,Inf,4.53776,10.0,0.0,Inf,5,-294.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:50:57,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:50:57,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,6.0,0.0,Inf,12.3621404,25.0,0.0,Inf,4,-353.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:52:06,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:52:06,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,6.0,0.0,Inf,38.1672827,50.0,0.0,Inf,4,-465.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:53:19,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:53:19,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,6.0,0.0,Inf,88.7214105,100.0,0.0,Inf,4,-559.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:54:25,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:54:25,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,6.0,0.0,Inf,989.1884508,1000.0,0.0,Inf,4,-844.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:55:42,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:55:42,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,10.0,0.0,Inf,42990.6151985,0.01,0.0,Inf,5,-1297.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:57:01,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:57:01,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,10.0,0.0,Inf,42184.9758815,0.1,0.0,Inf,5,-1294.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:58:27,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:58:28,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,10.0,0.0,Inf,20.1375913,1.0,0.0,Inf,5,-398.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 21:59:56,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:59:56,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,10.0,0.0,Inf,1.8640473,3.0,0.0,Inf,5,-325.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 22:01:19,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 22:01:19,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,10.0,0.0,Inf,5.0467376,6.0,0.0,Inf,5,-297.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 22:02:36,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 22:02:36,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,10.0,0.0,Inf,4.101235,10.0,0.0,Inf,5,-292.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 22:03:49,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 22:03:49,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,10.0,0.0,Inf,4.1441566,25.0,0.0,Inf,5,-292.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 22:05:06,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 22:05:06,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.0,10.0,0.0,Inf,26.8527597,50.0,0.0,Inf,4,-427.0,0.0,,,3.146,-0.454,3.78,3.479,0.265,-0.0,,2022-12-15 22:06:20,Estimated parameters after convergence of the iterative method
,,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
